dt,temp,feels_like,temp_min,temp_max,pressure,humidity,wind_speed,clouds_all,weather_main_Clear,weather_main_Clouds,weather_main_Drizzle,weather_main_Fog,weather_main_Haze,weather_main_Mist,weather_main_Rain,weather_main_Smoke,weather_main_Snow,weather_main_Thunderstorm
2019-08-03,72.46826589595376,73.15202312138727,52.74,89.89,1013.2369942196532,73.7514450867052,5.170635838150291,32.7514450867052,0.4508670520231214,0.35260115606936415,0.005780346820809248,0.005780346820809248,0.0,0.017341040462427744,0.15028901734104047,0.0,0.0,0.017341040462427744
2019-08-10,70.3089940828402,70.6173372781065,55.87,83.91,1014.2544378698225,76.37869822485207,3.319940828402367,48.37278106508876,0.33727810650887574,0.4911242603550296,0.0,0.0,0.0,0.011834319526627219,0.15976331360946747,0.0,0.0,0.0
2019-08-17,70.75924418604647,71.09773255813953,52.65,85.73,1014.7267441860465,75.01162790697674,3.5080232558139532,30.99418604651163,0.5058139534883721,0.3546511627906977,0.0,0.01744186046511628,0.0,0.046511627906976744,0.06395348837209303,0.0,0.0,0.011627906976744186
2019-08-24,66.98632768361583,66.79553672316386,48.74,85.73,1014.542372881356,71.46892655367232,6.184576271186444,34.83050847457627,0.5028248587570622,0.2994350282485876,0.005649717514124294,0.0,0.005649717514124294,0.04519774011299435,0.14124293785310735,0.0,0.0,0.0
2019-08-31,64.5887573964497,64.4249112426036,45.86,81.73,1018.3786982248521,78.09467455621302,3.647633136094674,54.33136094674556,0.2485207100591716,0.5798816568047337,0.005917159763313609,0.0,0.0,0.03550295857988166,0.1301775147928994,0.0,0.0,0.0
2019-09-07,65.63320652173915,65.98880434782605,49.05,89.56,1018.4021739130435,84.23913043478261,7.381793478260868,68.97282608695652,0.15760869565217392,0.3423913043478261,0.010869565217391304,0.005434782608695652,0.010869565217391304,0.11956521739130435,0.34782608695652173,0.0,0.0,0.005434782608695652
2019-09-14,67.27039325842698,67.55117977528093,50.29,85.62,1019.314606741573,82.14044943820225,3.98050561797753,34.70224719101124,0.3258426966292135,0.08426966292134831,0.0056179775280898875,0.09550561797752809,0.02247191011235955,0.12359550561797752,0.34269662921348315,0.0,0.0,0.0
2019-09-21,66.77920454545455,66.64727272727272,48.29,81.9,1011.4545454545455,74.1875,6.065170454545455,46.08522727272727,0.3068181818181818,0.30113636363636365,0.022727272727272728,0.0,0.05113636363636364,0.028409090909090908,0.2897727272727273,0.0,0.0,0.0
2019-09-28,60.115454545454575,60.02684210526309,43.57,86.85,1017.6842105263158,87.42583732057416,5.104641148325361,71.30143540669856,0.14354066985645933,0.22009569377990432,0.06698564593301436,0.03349282296650718,0.004784688995215311,0.14354066985645933,0.3684210526315789,0.0,0.0,0.019138755980861243
2019-10-05,55.71102272727274,54.79886363636362,36.14,72.63,1018.2784090909091,77.6875,4.843352272727273,33.98295454545455,0.5965909090909091,0.14772727272727273,0.017045454545454544,0.0,0.0,0.03977272727272727,0.19886363636363635,0.0,0.0,0.0
2019-10-12,43.87816568047339,41.526390532544376,29.14,62.94,1013.1420118343195,72.83431952662721,5.567159763313613,48.23668639053255,0.4260355029585799,0.4911242603550296,0.011834319526627219,0.0,0.0,0.0,0.0650887573964497,0.0,0.0,0.005917159763313609
2019-10-19,48.14654970760232,46.32643274853797,28.15,69.58,1011.1812865497076,75.6842105263158,5.392923976608186,48.8187134502924,0.3742690058479532,0.3567251461988304,0.005847953216374269,0.023391812865497075,0.0,0.07017543859649122,0.1695906432748538,0.0,0.0,0.0
2019-10-26,37.40424418604652,34.88343023255813,15.75,59.63,1017.0058139534884,80.61046511627907,4.107267441860465,55.27325581395349,0.3546511627906977,0.19186046511627908,0.011627906976744186,0.0,0.0,0.0,0.28488372093023256,0.0,0.1569767441860465,0.0
2019-11-02,32.540441988950256,28.558011049723763,8.87,49.6,1022.1160220994475,74.92817679558011,4.968287292817677,56.3756906077348,0.32044198895027626,0.292817679558011,0.027624309392265192,0.0,0.0,0.049723756906077346,0.16022099447513813,0.0,0.14917127071823205,0.0
2019-11-09,25.176058823529413,17.09970588235294,5.14,45.41,1022.0941176470589,70.71764705882353,9.060882352941178,52.99411764705882,0.3058823529411765,0.38823529411764707,0.0,0.0,0.0,0.01764705882352941,0.1,0.0,0.18823529411764706,0.0
2019-11-16,36.85734806629834,33.39812154696132,21.58,53.94,1015.414364640884,82.95580110497238,6.01801104972376,70.08839779005525,0.18232044198895028,0.47513812154696133,0.049723756906077346,0.0,0.027624309392265192,0.1270718232044199,0.13259668508287292,0.0,0.0055248618784530384,0.0
2019-11-23,36.75732954545455,32.02647727272727,22.28,51.96,1010.9659090909091,80.2159090909091,7.767159090909092,53.56818181818182,0.32386363636363635,0.35795454545454547,0.05113636363636364,0.0,0.0,0.05113636363636364,0.16477272727272727,0.0,0.05113636363636364,0.0
2019-11-30,34.120885416666695,28.08322916666667,21.97,44.04,1008.8020833333334,82.98958333333333,8.197604166666666,60.739583333333336,0.2708333333333333,0.3645833333333333,0.046875,0.0,0.0,0.10416666666666667,0.17708333333333334,0.0,0.036458333333333336,0.0
