Item,Item Code,Quantity,Unit Price,Total Sales Amount,date
DBL RAIL Brandy,3448,4.0,6.5,26.0,2021-01-15
Buffalo Chicken Sammy,3707,4.0,6.75,27.0,2021-01-15
SHOT Captain Morgan,3497,4.0,4.0,16.0,2021-01-15
BTL Hop Refresher,3703,3.0,4.5,13.5,2021-01-15
Tracks Big Boy,3704,3.0,10.333333333333,31.0,2021-01-15
DBL RAIL Rum,3457,3.0,3.1666666666667,9.5,2021-01-15
DBL Tullamore Dew,3536,3.0,8.0,24.0,2021-01-15
DBL Crown Royal,3528,3.0,8.0,24.0,2021-01-15
DBL Skyy Peach,3664,3.0,4.6666666666667,14.0,2021-01-15
Moscow Mule,3207,3.0,7.0,21.0,2021-01-15
Long Island,3204,3.0,8.0,24.0,2021-01-15
Cup Chili,2873,3.0,2.5,7.5,2021-01-15
CAN Press Pom/Gin,3131,3.0,5.0,15.0,2021-01-15
Chix Caeser Wrap,2838,3.0,7.9166666666667,23.75,2021-01-15
BTL Corona,3117,3.0,4.5,13.5,2021-01-15
BTL MGD,3121,3.0,3.25,9.75,2021-01-15
BTL ODouls,3125,2.0,3.25,6.5,2021-01-15
BTL Spaten Lager,3127,2.0,5.0,10.0,2021-01-15
Plain Chicken Strips,2867,2.0,8.0,16.0,2021-01-15
Chili Cheese Poutine,2801,2.0,7.0,14.0,2021-01-15
3 PART COMBO,2831,2.0,16.24,32.48,2021-01-15
Tater Tots,2836,2.0,2.0,4.0,2021-01-15
Bowl SOUP,2713,2.0,4.0,8.0,2021-01-15
PIT Miller High Life,3142,2.0,11.0,22.0,2021-01-15
Soda/Juice,3183,2.0,1.5,3.0,2021-01-15
Mind Eraser,3267,2.0,6.0,12.0,2021-01-15
SHOT Jameson,3317,2.0,2.0,4.0,2021-01-15
RAIL Whiskey,3340,2.0,1.75,3.5,2021-01-15
