item,item_code,quantity,unit_price,total_sales_amount,date,type
pint k4 fantasy factory,3351,7.0,3.6428571428571,25.5,2020-01-10,beer
dbl rail tequila,3461,7.0,4.1428571428571,29.0,2020-01-10,tequila
dbl ketel one,3658,7.0,8.0,56.0,2020-01-10,vodka
dbl skyy,3662,7.0,4.2857142857143,30.0,2020-01-10,vodka
shot skyy raspb,3669,6.0,3.0,18.0,2020-01-10,vodka
dbl jameson,3538,6.0,8.0,48.0,2020-01-10,scotch/whiskey
dbl bacardi,3492,6.0,6.0,36.0,2020-01-10,vodka
dbl rail brandy,3448,6.0,5.3333333333333,32.0,2020-01-10,brandy
skyy cherry bomb,3370,6.0,4.0,24.0,2020-01-10,vodka
coke,3154,6.0,1.5,9.0,2020-01-10,nonalcoholic
plain chicken strips,2867,6.0,8.3333333333333,50.0,2020-01-10,appetizers
tracks scramble,3045,6.0,8.0,48.0,2020-01-10,breakfast
bottle bud light,3114,5.0,4.5,22.5,2020-01-10,beer
bottle budweiser,3115,5.0,4.5,22.5,2020-01-10,beer
thai chicken wrap,2880,5.0,8.1,40.5,2020-01-10,sandwich
house salad sm,2837,5.0,3.5,17.5,2020-01-10,salad
nachos,2808,5.0,7.2,36.0,2020-01-10,appetizers
fish tacos,2851,5.0,6.5,32.5,2020-01-10,fish
pit miller high life,3142,5.0,11.0,55.0,2020-01-10,beer
mimosa,3206,5.0,4.0,20.0,2020-01-10,cocktail
moscow mule,3207,5.0,7.0,35.0,2020-01-10,cocktail
pit spotted cow,3145,5.0,15.0,75.0,2020-01-10,beer
can press pom/gin,3131,5.0,5.0,25.0,2020-01-10,hard seltzer
pint angry orchard,3352,5.0,3.3,16.5,2020-01-10,hard cider
rail vodka,3339,5.0,3.5,17.5,2020-01-10,vodka
skyy cherry,3297,4.0,4.0,16.0,2020-01-10,vodka
bottle pabst blue ribbon,3126,4.0,3.25,13.0,2020-01-10,beer
bbq pulled pork,2842,4.0,7.0,28.0,2020-01-10,sandwich
house salad lg,2697,4.0,3.875,15.5,2020-01-10,salad
club sub,2733,4.0,7.25,29.0,2020-01-10,sandwich
jive turkey,2859,4.0,8.0,32.0,2020-01-10,sandwich
cup chili,2873,4.0,2.5,10.0,2020-01-10,side
breakfast burger,3033,4.0,8.0,32.0,2020-01-10,breakfast
dbl hennessey,3449,4.0,8.25,33.0,2020-01-10,brandy
dbl tanqueray,3488,4.0,8.0,32.0,2020-01-10,gin
shot cazadores blanco,3481,4.0,3.0,12.0,2020-01-10,tequila
dbl jack daniels,3526,4.0,6.0,24.0,2020-01-10,scotch/whiskey
